"Mes","IPC","DTF","usura E.A.","usura M.V.","usura-DTF","usura-IPC"
"7/1/1955","-0.87%","","","","",""
"8/1/1955","-0.01%","","","","",""
"9/1/1955","0.84%","","","","",""
"10/1/1955","0.77%","","","","",""
"11/1/1955","1.44%","","","","",""
"12/1/1955","2.03%","","","","",""
"1/1/1956","2.10%","","","","",""
"2/1/1956","2.57%","","","","",""
"3/1/1956","3.10%","","","","",""
"4/1/1956","3.04%","","","","",""
"5/1/1956","4.25%","","","","",""
"6/1/1956","5.28%","","","","",""
"7/1/1956","6.36%","","","","",""
"8/1/1956","5.76%","","","","",""
"9/1/1956","7.26%","","","","",""
"10/1/1956","8.31%","","","","",""
"11/1/1956","8.83%","","","","",""
"12/1/1956","7.91%","","","","",""
"1/1/1957","9.30%","","","","",""
"2/1/1957","10.30%","","","","",""
"3/1/1957","11.21%","","","","",""
"4/1/1957","12.97%","","","","",""
"5/1/1957","13.58%","","","","",""
"6/1/1957","17.15%","","","","",""
"7/1/1957","19.39%","","","","",""
"8/1/1957","21.43%","","","","",""
"9/1/1957","20.93%","","","","",""
"10/1/1957","21.17%","","","","",""
"11/1/1957","19.84%","","","","",""
"12/1/1957","20.69%","","","","",""
"1/1/1958","19.46%","","","","",""
"2/1/1958","18.05%","","","","",""
"3/1/1958","17.86%","","","","",""
"4/1/1958","17.24%","","","","",""
"5/1/1958","18.06%","","","","",""
"6/1/1958","13.90%","","","","",""
"7/1/1958","10.99%","","","","",""
"8/1/1958","10.47%","","","","",""
"9/1/1958","10.14%","","","","",""
"10/1/1958","8.92%","","","","",""
"11/1/1958","8.54%","","","","",""
"12/1/1958","7.98%","","","","",""
"1/1/1959","9.47%","","","","",""
"2/1/1959","10.34%","","","","",""
"3/1/1959","9.09%","","","","",""
"4/1/1959","8.96%","","","","",""
"5/1/1959","7.62%","","","","",""
"6/1/1959","7.87%","","","","",""
"7/1/1959","8.41%","","","","",""
"8/1/1959","7.78%","","","","",""
"9/1/1959","7.23%","","","","",""
"10/1/1959","7.14%","","","","",""
"11/1/1959","7.42%","","","","",""
"12/1/1959","7.81%","","","","",""
"1/1/1960","6.52%","","","","",""
"2/1/1960","5.24%","","","","",""
"3/1/1960","6.14%","","","","",""
"4/1/1960","5.49%","","","","",""
"5/1/1960","5.52%","","","","",""
"6/1/1960","4.93%","","","","",""
"7/1/1960","4.79%","","","","",""
"8/1/1960","4.96%","","","","",""
"9/1/1960","5.57%","","","","",""
"10/1/1960","6.12%","","","","",""
"11/1/1960","7.13%","","","","",""
"12/1/1960","7.35%","","","","",""
"1/1/1961","7.59%","","","","",""
"2/1/1961","8.36%","","","","",""
"3/1/1961","8.70%","","","","",""
"4/1/1961","9.87%","","","","",""
"5/1/1961","10.23%","","","","",""
"6/1/1961","10.27%","","","","",""
"7/1/1961","10.03%","","","","",""
"8/1/1961","8.40%","","","","",""
"9/1/1961","7.47%","","","","",""
"10/1/1961","6.81%","","","","",""
"11/1/1961","6.13%","","","","",""
"12/1/1961","5.74%","","","","",""
"1/1/1962","5.63%","","","","",""
"2/1/1962","5.29%","","","","",""
"3/1/1962","4.54%","","","","",""
"4/1/1962","3.66%","","","","",""
"5/1/1962","2.63%","","","","",""
"6/1/1962","2.57%","","","","",""
"7/1/1962","3.30%","","","","",""
"8/1/1962","4.55%","","","","",""
"9/1/1962","5.85%","","","","",""
"10/1/1962","6.01%","","","","",""
"11/1/1962","6.15%","","","","",""
"12/1/1962","6.30%","","","","",""
"1/1/1963","9.79%","","","","",""
"2/1/1963","16.34%","","","","",""
"3/1/1963","21.29%","","","","",""
"4/1/1963","25.08%","","","","",""
"5/1/1963","26.52%","","","","",""
